Unnamed: 0,State_Name,Crop_Type,Crop,N,P,K,pH,rainfall,temperature,Production_in_quintals,Area_in_acres,Yield_quintals_per_acre
4976,andhra pradesh,rabi,ragi,50,40,20,5.64,288.3,25.46,42000,5189.205,8.093725339430607
4977,andhra pradesh,rabi,rice,80,40,40,5.4,288.3,25.46,75000,4942.1,15.175735011432383
4978,andhra pradesh,rabi,sesamum,30,15,30,6.4,288.3,25.46,5000,4942.1,1.0117156674288257
4979,andhra pradesh,kharif,cotton,120,40,20,5.66,654.34,29.26666666666667,11000,3212.365,3.424268412836026
4980,andhra pradesh,kharif,horsegram,20,60,20,5.92,654.34,29.26666666666667,3000,1235.525,2.428117601829182
4981,andhra pradesh,kharif,jowar,80,40,40,5.5,654.34,29.26666666666667,5000,4447.89,1.1241285193653618
4982,andhra pradesh,kharif,maize,80,40,20,5.44,654.34,29.26666666666667,86000,15814.72,5.437971712429939
4983,andhra pradesh,kharif,moong,20,40,20,5.48,654.34,29.26666666666667,17000,6671.835,2.5480246438948204
4984,andhra pradesh,kharif,ragi,50,40,20,5.34,654.34,29.26666666666667,319000,82285.965,3.8767242992167614
4985,andhra pradesh,kharif,rice,80,40,40,5.36,654.34,29.26666666666667,1413000,283923.645,4.976690123853545
4986,andhra pradesh,kharif,sesamum,30,15,30,6.44,654.34,29.26666666666667,9000,12355.25,0.7284352805487546
4987,andhra pradesh,rabi,horsegram,20,60,20,6.16,288.3,25.46,38000,17297.35,2.1968683064168792
4988,andhra pradesh,rabi,maize,80,40,20,5.32,288.3,25.46,14000,741.3149999999999,18.885359125338084
4989,andhra pradesh,rabi,moong,20,40,20,5.32,288.3,25.46,12000,6918.94,1.7343697155922728
4990,andhra pradesh,rabi,ragi,50,40,20,5.66,288.3,25.46,44000,5189.205,8.479140831784445
4991,andhra pradesh,rabi,rice,80,40,40,5.58,288.3,25.46,141000,9389.99,15.015990432364678
4992,andhra pradesh,rabi,sesamum,30,15,30,6.36,288.3,25.46,20000,24463.395,0.8175480140838997
4993,andhra pradesh,kharif,cotton,120,40,20,5.54,654.34,29.26666666666667,104000,32617.86,3.1884372549272086
4994,andhra pradesh,kharif,maize,80,40,20,5.5,654.34,29.26666666666667,17000,1976.84,8.599583173
4995,andhra pradesh,kharif,moong,20,40,20,5.6,654.34,29.26666666666667,4000,1482.63,2.697908446476869
4996,andhra pradesh,kharif,ragi,50,40,20,5.5,654.34,29.26666666666667,125000,22733.66,5.498454714287097
4997,andhra pradesh,kharif,rice,80,40,40,5.52,654.34,29.26666666666667,2956000,328649.65,8.994380489983786
4998,andhra pradesh,kharif,sesamum,30,15,30,6.46,654.34,29.26666666666667,10000,13837.88,0.722654048
4999,andhra pradesh,rabi,horsegram,20,60,20,6.06,288.3,25.46,71000,91923.06,0.7723850794349101
5000,andhra pradesh,rabi,maize,80,40,20,5.46,288.3,25.46,79000,3953.68,19.98138443171931
5001,andhra pradesh,rabi,moong,20,40,20,5.6,288.3,25.46,44000,46208.635,0.9522029811094832
5002,andhra pradesh,rabi,ragi,50,40,20,5.34,288.3,25.46,57000,6424.73,8.871968160529704
5003,andhra pradesh,rabi,rice,80,40,40,5.52,288.3,25.46,133000,8895.78,14.950909307559314
5004,andhra pradesh,rabi,sesamum,30,15,30,6.46,288.3,25.46,15000,38301.275,0.3916318712627712
5005,andhra pradesh,kharif,cotton,120,40,20,5.32,654.34,29.26666666666667,24000,7660.255,3.13305497
5006,andhra pradesh,kharif,jowar,80,40,40,5.32,654.34,29.26666666666667,1000,988.42,1.011715667428826
5007,andhra pradesh,kharif,maize,80,40,20,5.36,654.34,29.26666666666667,11000,1235.525,8.903097873373666
5008,andhra pradesh,kharif,rice,80,40,40,5.38,654.34,29.26666666666667,6464000,647415.1,9.984320724060964
5009,andhra pradesh,kharif,sesamum,30,15,30,6.48,654.34,29.26666666666667,5000,3459.47,1.445308096326894
5010,andhra pradesh,kharif,sunflower,50,60,30,5.34,654.34,29.26666666666667,6000,1729.735,3.4687394311845456
5011,andhra pradesh,rabi,horsegram,20,60,20,6.08,288.3,25.46,4000,2718.155,1.4715864253510191
5012,andhra pradesh,rabi,maize,80,40,20,5.54,288.3,25.46,458000,22733.66,20.146338073147923
